0	power	lat	lon	id	line_attachment	material	operator	source	design	ref	description	line_management	location:transition	structure	colour	cables	voltage	tower:type
95	tower	41.0766814	-8.4520942	1332814349						NA						NA	NA	
96	tower	41.062074	-8.4669865	1332814410						NA						NA	NA	
97	tower	41.0625979	-8.4643192	1332814430						NA						NA	NA	
98	tower	41.098375	-8.4675832	1332814523						NA						NA	NA	
99	tower	41.0843767	-8.4612342	1332814654						NA						NA	NA	
100	tower	41.0563752	-8.4789796	1332814739						NA						NA	NA	
101	tower	41.0717046	-8.4483823	1332814755						NA						NA	NA	
102	tower	41.051343	-8.4853301	1332814815						NA						NA	NA	
103	tower	41.1198609	-8.4740237	1332814852						NA						NA	NA	
104	tower	41.09443	-8.4658433	1332814976						NA						NA	NA	
105	tower	41.0686888	-8.4499681	1332815024						NA						NA	NA	
106	tower	41.0495044	-8.5010052	1332815086						NA						NA	NA	
107	tower	41.1155852	-8.4734323	1332815207						NA						NA	NA	
108	tower	41.0825131	-8.4591586	1332815265						NA						NA	NA	
109	tower	41.0476413	-8.5155077	1332815318						NA						NA	NA	
110	tower	41.0554466	-8.4809425	1332815379						NA						NA	NA	
111	tower	41.0923769	-8.4648284	1332815463						NA						NA	NA	
112	tower	41.0577351	-8.4760884	1332815513						NA						NA	NA	
113	tower	41.0668167	-8.4509524	1332815527						NA						NA	NA	
114	tower	41.0496105	-8.495969	1332815594						NA						NA	NA	
115	tower	41.1090639	-8.4725671	1332815729						NA						NA	NA	
116	tower	41.0764908	-8.4496277	1332815826						NA						NA	NA	
117	tower	41.0492127	-8.5122184	1332816068						NA						NA	NA	
118	tower	41.0496959	-8.4924566	1332816133						NA						NA	NA	
119	tower	41.0789586	-8.4558766	1332816214						NA						NA	NA	
120	tower	41.0591139	-8.4731972	1332816264						NA						NA	NA	
121	tower	41.0649756	-8.453083	1332816284						NA						NA	NA	
122	tower	41.0493836	-8.5074089	1332816342						NA						NA	NA	
123	tower	41.087172	-8.4625162	1332816473						NA						NA	NA	
124	tower	41.075124	-8.4477596	1332816538						NA						NA	NA	
125	tower	41.0642852	-8.4565383	1332816601						NA						NA	NA	
126	tower	41.0506299	-8.4884636	1332816667						NA						NA	NA	
127	tower	41.102291	-8.4693841	1332816690						NA						NA	NA	
128	tower	41.0764109	-8.4535561	1332816768						NA						NA	NA	
129	tower	41.0732877	-8.4474544	1332816865						NA						NA	NA	
130	tower	41.0494337	-8.5046192	1332816969						NA						NA	NA	
131	tower	41.0446382	-8.5219445	1332853754						NA						NA	NA	
132	tower	41.0430091	-8.5254598	1332854091						NA						NA	NA	
133	tower	41.0226666	-8.4430571	1334360768						NA						NA	NA	
134	tower	41.0221336	-8.4468418	1334361231						NA						NA	NA	
135	tower	41.0231198	-8.439709	1334361768						NA						NA	NA	
136	tower	41.0212398	-8.4492137	1334362672						NA						NA	NA	
137	tower	41.1555519	-8.5571048	1390707071						NA						NA	NA	
138	tower	41.1565111	-8.5667873	1390707075						NA						NA	NA	
139	tower	41.1589896	-8.5638242	1390707086						NA						NA	NA	
140	tower	41.1599197	-8.5638025	1390707087						NA						NA	NA	
141	tower	41.1624031	-8.563699	1390707098						NA						NA	NA	
142	tower	41.1644579	-8.5635771	1390707136						NA						NA	NA	
143	tower	41.1658851	-8.5825533	1390707176						NA						NA	NA	
144	tower	41.1660348	-8.5827369	1390707182						NA						NA	NA	
145	tower	41.1667753	-8.5634753	1390707203						NA						NA	NA	
146	tower	41.1670393	-8.5816331	1390707216						NA						NA	NA	
147	tower	41.167172	-8.5817894	1390707220						NA						NA	NA	
148	tower	41.1684165	-8.5626807	1390707306						NA						NA	NA	
149	tower	41.1687469	-8.5821774	1390707318				Bing		NA						NA	NA	
150	tower	41.1693877	-8.5795778	1390707345						NA						NA	NA	
151	tower	41.1699821	-8.5633413	1390707379						NA						NA	NA	
152	tower	41.1700548	-8.5626214	1390707388						NA						NA	NA	
153	tower	41.1704956	-8.5786363	1390707440						NA						NA	NA	
154	tower	41.1709429	-8.5805079	1390707540				Bing		NA						NA	NA	
155	tower	41.1724905	-8.5684421	1390707745						NA						NA	NA	
156	tower	41.1725031	-8.5681758	1390707746						NA						NA	NA	
157	tower	41.1725835	-8.5768067	1390707752						NA						NA	NA	
158	tower	41.1734538	-8.5783163	1390707795				Bing		NA						NA	NA	
159	tower	41.1736913	-8.5758558	1390707817						NA						NA	NA	
160	tower	41.1742483	-8.5707957	1390707841						NA						NA	NA	
