0,power,lat,lon,id,source,location:transition,line_attachment,material,line_management,design,ref,description,operator,operator:wikidata,structure,colour,line_arrangement,mapillary,operator:wikipedia,cables,disused,fixme
76,tower,41.0667978,-8.450896,1332815527,,,,,,,,,,,,,,,,,,
77,tower,41.0496115,-8.4959493,1332815594,,,,,,,,,,,,,,,,,,
78,tower,41.1090639,-8.4725671,1332815729,,,,,,,,,,,,,,,,,,
79,tower,41.0765593,-8.449565,1332815826,,,,,,,,,,,,,,,,,,
80,tower,41.0492246,-8.5121881,1332816068,,,,,,,,,,,,,,,,,,
81,tower,41.049685,-8.4924566,1332816133,,,,,,,,,,,,,,,,,,
82,tower,41.0789586,-8.4558766,1332816214,,,,,,,,,,,,,,,,,,
83,tower,41.0590934,-8.4731982,1332816264,,,,,,,,,,,,,,,,,,
84,tower,41.0649468,-8.4530421,1332816284,,,,,,,,,,,,,,,,,,
85,tower,41.0493826,-8.5074168,1332816342,,,,,,,,,,,,,,,,,,
86,tower,41.0871626,-8.4624857,1332816473,,,,,,,,,,,,,,,,,,
87,tower,41.075194,-8.4478251,1332816538,,,,,,,,,,,,,,,,,,
88,tower,41.064242,-8.4565165,1332816601,,,,,,,,,,,,,,,,,,
89,tower,41.0506299,-8.4884636,1332816667,,,,,,,,,,,,,,,,,,
90,tower,41.102291,-8.4693841,1332816690,,,,,,,,,,,,,,,,,,
91,tower,41.0764109,-8.4535561,1332816768,,,,,,,,,,,,,,,,,,
92,tower,41.0733916,-8.4474734,1332816865,,,,,,,,,,,,,,,,,,
93,tower,41.0494337,-8.5046455,1332816969,,,,,,,,,,,,,,,,,,
94,tower,41.0446511,-8.5219616,1332853754,,,,,,,,,,,,,,,,,,
95,tower,41.0430091,-8.5254598,1332854091,,,,,,,,,,,,,,,,,,
96,tower,41.0226527,-8.4430545,1334360768,,,,,,,,,,,,,,,,,,
97,tower,41.0221386,-8.4468398,1334361231,,,,,,,,,,,,,,,,,,
98,tower,41.0231099,-8.4397077,1334361768,,,,,,,,,,,,,,,,,,
99,tower,41.021204,-8.4492216,1334362672,,,,,,,,,,,,,,,,,,
100,tower,41.1658851,-8.5825533,1390707176,,,,,,,,,,,,,,,,,,
101,tower,41.1660348,-8.5827369,1390707182,,,,,,,,,,,,,,,,,,
102,tower,41.1670393,-8.5816331,1390707216,,,,,,,,,,,,,,,,,,
103,tower,41.167172,-8.5817682,1390707220,,,,,,,,,,,,,,,,,,
104,tower,41.1684165,-8.5626807,1390707306,,,,,,,,,,,,,,,,,,
105,tower,41.1687469,-8.5821774,1390707318,Bing,,,,,,,,,,,,,,,,,
106,tower,41.1693877,-8.5795778,1390707345,,,,,,,,,,,,,,,,,,
107,tower,41.1700548,-8.5626214,1390707388,,,,,,,,,,,,,,,,,,
108,tower,41.1704956,-8.5786363,1390707440,,,,,,,,,,,,,,,,,,
109,tower,41.1709429,-8.5805079,1390707540,Bing,,,,,,,,,,,,,,,,,
110,tower,41.1725835,-8.5768067,1390707752,,,,,,,,,,,,,,,,,,
111,tower,41.1734538,-8.5783163,1390707795,Bing,,,,,,,,,,,,,,,,,
112,tower,41.1736913,-8.5758558,1390707817,,,,,,,,,,,,,,,,,,
113,tower,41.1742483,-8.5707957,1390707841,,,,,,,,,,,,,,,,,,
114,tower,41.1743001,-8.5669001,1390707844,,,,,,,,,,,,,,,,,,
115,tower,41.1743773,-8.5740687,1390707847,,yes,,,,,,,,,,,,,,,,
116,tower,41.1744062,-8.5741618,1390707848,,yes,,,,,,,,,,,,,,,,
117,tower,41.1755983,-8.5748889,1390707859,,,,,,,,,,,,,,,,,,
118,tower,41.1759894,-8.5744815,1390707863,,,,,,,,,,,,,,,,,,
