power lat lon id GSV_status GSV_lat GSV_lon GSV_date GSV_pano_id elev_GSV distance heading fov elev_tower diff_elev pitch X1 X2 X3 X4 Y1 Y2 Y3 Y4
tower 41.1879988 -8.6770547 1243615790 OK 41.1881317279837 -8.6769256204081 2020-07 lJgXrXt5YNSRHnWkUcFXcg 44.7999992370605 20.5668922065918 224.158494729017 88.6567509906875 44.7999992370605 0 0 -8.67636285121919 -8.6776087 -8.6763618 -8.6772477 41.1880110534525 41.1885414 41.1879517 41.1875711
tower 41.1881434 -8.6773346 1243615910 OK 41.1883054890621 -8.67722687750277 2020-07 -Y2W2MFnih4CD1pVNo1QkQ 44.5 21.6028359897533 213.607548021498 88.5250632216415 44.5 0 0 -8.67704673452017 -8.6777637 -8.6772477 -8.6778452 41.1885647118241 41.1886446 41.1875711 41.1876545
tower 41.1881137 -8.6775332 1243616161 OK 41.1883054890621 -8.67722687750277 2020-07 -Y2W2MFnih4CD1pVNo1QkQ 44.5 40.1164068900045 237.949244142255 86.1716431919486 44.5 0 0 -8.67716829289146 -8.6777637 -8.6772477 -8.6778452 41.1886477677862 41.1886446 41.1875711 41.1876545
tower 41.2070765 -8.5124084 1297803156 OK 41.2071044 -8.5122526 2014-08 oBiQWP3aVd47n9skL1VQpw 163.600006103516 17.5689017314449 259.847328899119 89.0378514748163 161.600006103516 -2 -6.49445126272706 -8.51189451334901 -8.51323109158315 -8.5109625 -8.51269141731241 41.2079278875738 41.2076490669696 41.2067146 41.2066080949117
tower 41.0885291 -8.58639 1319941351 OK 41.0886378029724 -8.58611511891474 2020-10 glf1zDQcmMMm5sKf0QGfmQ 179.100006103516 32.8109592351223 248.423455458483 87.1003017921455 177.699996948242 -1.40000915527344 -2.44326865867218 -8.5841311 -8.58734159509835 -8.5862395 -8.58651755602035 41.0900659 41.0886213315249 41.08679 41.0878622109602
tower 41.0819738 -8.588154 1319941718 OK 41.0815305775003 -8.58804469883806 2020-07 xm4bNUwei9pRZ9jQbXbIrA 203.5 50.6715824630524 346.146945334611 84.8298835852052 203.5 0 0 -8.58728868214129 -8.58833980768909 -8.586949 -8.590324 41.0824946533978 41.0828013992654 41.0817587 41.0808834
tower 41.0865949 -8.5855259 1319942202 OK 41.0865476495715 -8.585457816267 2019-10 TqvCA2OhpGdS8BPsZ5GOSg 189.699996948242 9.19894556851282 304.760828508161 90 189.699996948242 0 0 -8.5849206 -8.5860914 -8.586906 NA 41.086815 41.0877807 41.0857667 NA
tower 41.0787484 -8.5947127 1319949486 OK 41.0786482 -8.5945176 2020-09 _bzlMxctvWcVFwID66N3PA 156.5 24.3452254054501 297.184251440382 88.1764543976123 148.300003051758 -8.19999694824219 -18.6146351111346 -8.59393408939371 -8.59621340388361 -8.5946386 NA 41.080860880379 41.0787559997833 41.077745 NA
tower 41.0798786 -8.5927585 1319952296 OK 41.0801425535453 -8.59381929664009 2020-09 gLFhr09l4O1_bFO5l0t80Q 156.5 121.338840873828 103.972905353418 75.8467575160388 165.199996948242 8.69999694824219 4.10109021664575 -8.59273084295259 -8.59374440705882 -8.5913007 -8.5946386 41.0813122350848 41.0803214538234 41.0787756 41.077745
tower 41.0849277 -8.5846041 1319956069 OK 41.0849616786865 -8.58436208664204 2020-10 Rwdb6vfmp8NKLv5H10jyKw 198.699996948242 27.1269594516283 262.007910533876 87.8228441375049 198.100006103516 -0.599990844726562 -1.26705461091754 -8.5824073 -8.5854054 -8.5840985 -8.58513209663353 41.0859924 41.086554 41.0828172 41.0842994300332
